pelicula,imdb rating,año estreno,brief,link,image,duración
Kill Bill,8.1,2003,A former assassin known as The Bride wakens from a four-year coma. The child she carried in her womb is gone. Now she must wreak vengeance on the team of assassins who betrayed her - a team she was once part of.,https://www.imdb.com/title/tt0266697/,"https://ia.media-imdb.com/images/M/MV5BYTczMGFiOWItMjA3Mi00YTU5LWIwMDgtYTEzNjRkNDkwMTE2XkEyXkFqcGdeQXVyNzQ1ODk3MTQ@._V1_UX182_CR0,0,182,268_AL_.jpg",111
Mr. Nobody,7.9,2009,"A boy stands on a station platform as a train is about to leave. Should he go with his mother or stay with his father? Infinite possibilities arise from this decision. As long as he doesn't choose, anything is possible.",https://www.imdb.com/title/tt0485947/?ref_=fn_al_tt_2,"https://ia.media-imdb.com/images/M/MV5BMTg4ODkzMDQ3Nl5BMl5BanBnXkFtZTgwNTEwMTkxMDE@._V1_UX182_CR0,0,182,268_AL_.jpg",141
Cloud Atlas,7.5,2012,"An exploration of how the actions of individual lives impact one another in the past, present and future, as one soul is shaped from a killer into a hero, and an act of kindness ripples across centuries to inspire a revolution.",https://www.imdb.com/title/tt1371111/?ref_=fn_al_tt_1,"https://ia.media-imdb.com/images/M/MV5BMTczMTgxMjc4NF5BMl5BanBnXkFtZTcwNjM5MTA2OA@@._V1_UX182_CR0,0,182,268_AL_.jpg",172
Ex Machina,"7,7",2014,A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a breath-taking humanoid A.I.,https://www.imdb.com/title/tt0470752/?ref_=nv_sr_1,"https://ia.media-imdb.com/images/M/MV5BMTUxNzc0OTIxMV5BMl5BanBnXkFtZTgwNDI3NzU2NDE@._V1_UX182_CR0,0,182,268_AL_.jpg",108
Guardianes de la Galaxia,8.1,2014,A group of intergalactic criminals are forced to work together to stop a fanatical warrior from taking control of the universe.,https://www.imdb.com/title/tt2015381/?ref_=nv_sr_1,"https://ia.media-imdb.com/images/M/MV5BMTAwMjU5OTgxNjZeQTJeQWpwZ15BbWU4MDUxNDYxODEx._V1_UX182_CR0,0,182,268_AL_.jpg",181
Godzilla,5.3,1998,"A giant, reptilian monster surfaces, leaving destruction in its wake. To stop the monster (and its babies), an earthworm scientist, his reporter ex-girlfriend, and other unlikely heroes team up to save their city.",https://www.imdb.com/title/tt0120685/?ref_=nv_sr_3,"https://ia.media-imdb.com/images/M/MV5BNjFlOTI2OGQtMzg0YS00ZGE4LTkwMjEtZDUzYThlOTU5YjQ5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",139
Titan A.E.,6.6,2000,A young man learns that he has to find a hidden Earth ship before an enemy alien species does in order to secure the survival of humanity.,https://www.imdb.com/title/tt0120913/?ref_=nv_sr_1,"https://ia.media-imdb.com/images/M/MV5BYTVkYTAyZDMtYzNmYi00OTkyLTg3M2ItNmE0MDZkNmY3Y2I3XkEyXkFqcGdeQXVyNjU2MDUzMjY@._V1_UX182_CR0,0,182,268_AL_.jpg",94
Interstellar,8.6,2014,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,https://www.imdb.com/title/tt0816692/?ref_=nv_sr_1,"https://ia.media-imdb.com/images/M/MV5BZjdkOTU3MDktN2IxOS00OGEyLWFmMjktY2FiMmZkNWIyODZiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX182_CR0,0,182,268_AL_.jpg",169
Blade Runner 2049,8.1,2017,"A young blade runner's discovery of a long-buried secret leads him to track down former blade runner Rick Deckard, who's been missing for thirty years.",https://www.imdb.com/title/tt1856101/?ref_=nv_sr_1,"https://ia.media-imdb.com/images/M/MV5BNzA1Njg4NzYxOV5BMl5BanBnXkFtZTgwODk5NjU3MzI@._V1_UX182_CR0,0,182,268_AL_.jpg",164
Matrix,8.7,1999,A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers.,https://www.imdb.com/title/tt0133093/?ref_=nv_sr_1,"https://ia.media-imdb.com/images/M/MV5BNzQzOTk3OTAtNDQ0Zi00ZTVkLWI0MTEtMDllZjNkYzNjNTc4L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL_.jpg",136
Jurassic Park,8.1,1993,"During a preview tour, a theme park suffers a major power breakdown that allows its cloned dinosaur exhibits to run amok.",https://www.imdb.com/title/tt0107290/?ref_=nv_sr_3,"https://ia.media-imdb.com/images/M/MV5BMjM2MDgxMDg0Nl5BMl5BanBnXkFtZTgwNTM2OTM5NDE@._V1_UX182_CR0,0,182,268_AL_.jpg",127
Children of Men,7.9,2006,"In 2027, in a chaotic world in which women have become somehow infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea.",https://www.imdb.com/title/tt0206634/?ref_=nv_sr_4,"https://ia.media-imdb.com/images/M/MV5BMTQ5NTI2NTI4NF5BMl5BanBnXkFtZTcwNjk2NDA2OQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",109
Inglorious Basterds,8.3,2009,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",https://www.imdb.com/title/tt0361748/?ref_=nv_sr_1,"https://ia.media-imdb.com/images/M/MV5BMjIzMDI4MTUzOV5BMl5BanBnXkFtZTcwNDY3NjA3Mg@@._V1_UX182_CR0,0,182,268_AL_.jpg",153
Mad Max,8.1,2015,"A woman rebels against a tyrannical ruler in postapocalyptic Australia in search for her home-land with the help of a group of female prisoners, a psychotic worshipper, and a drifter named Max.",https://www.imdb.com/title/tt1392190/?ref_=nv_sr_2,"https://ia.media-imdb.com/images/M/MV5BYTY2MTlhMTItZGFiOS00ZGM5LTlhYjUtZWU4NmZmOWJmNzc0XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UX182_CR0,0,182,268_AL_.jpg",120
12 Monkeys,8.0,1995,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.",https://www.imdb.com/title/tt0114746/?ref_=nv_sr_2,"https://ia.media-imdb.com/images/M/MV5BN2Y2OWU4MWMtNmIyMy00YzMyLWI0Y2ItMTcyZDc3MTdmZDU4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",129
The Iron Giant,8.0,1999,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,https://www.imdb.com/title/tt0129167/?ref_=nv_sr_1,"https://ia.media-imdb.com/images/M/MV5BMjIxNDU2Njk0OV5BMl5BanBnXkFtZTgwODc3Njc3NjE@._V1_UY268_CR0,0,182,268_AL_.jpg",86
Rogue One,7.8,2016,The daughter of an Imperial scientist joins the Rebel Alliance in a risky move to steal the Death Star plans.,https://www.imdb.com/title/tt3748528/?ref_=nv_sr_2,"https://ia.media-imdb.com/images/M/MV5BMjEwMzMxODIzOV5BMl5BanBnXkFtZTgwNzg3OTAzMDI@._V1_UX182_CR0,0,182,268_AL_.jpg",123
Dark City,7.7,1998,"A man struggles with memories of his past, including a wife he cannot remember, in a nightmarish world with no sun.",https://www.imdb.com/title/tt0118929/?ref_=nv_sr_1,"https://ia.media-imdb.com/images/M/MV5BMGExOGExM2UtNWM5ZS00OWEzLTllNzYtM2NlMTJlYjBlZTJkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",100
The Truman Show,8.1,1998,An insurance salesman/adjuster discovers his entire life is actually a television show.,https://www.imdb.com/title/tt0120382/?ref_=nv_sr_1,"https://ia.media-imdb.com/images/M/MV5BMDIzODcyY2EtMmY2MC00ZWVlLTgwMzAtMjQwOWUyNmJjNTYyXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_UX182_CR0,0,182,268_AL_.jpg",103
Donnie Darko,8.1,2001,"A troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes, after he narrowly escapes a bizarre accident.",https://www.imdb.com/title/tt0246578/?ref_=nv_sr_1,"https://ia.media-imdb.com/images/M/MV5BZjZlZDlkYTktMmU1My00ZDBiLWFlNjEtYTBhNjVhOTM4ZjJjXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX182_CR0,0,182,268_AL_.jpg",113